id,order_id,payment_method,amount
83,73,bank_transfer,300
84,74,credit_card,3000
85,75,credit_card,1900
86,76,coupon,200
87,77,credit_card,2
88,77,bank_transfer,1900
89,78,bank_transfer,2600
90,79,credit_card,1800
91,79,credit_card,900
92,80,gift_card,300
93,81,coupon,200
94,82,credit_card,800
95,83,credit_card,100
96,84,bank_transfer,2500
97,85,bank_transfer,1700
98,86,coupon,2300
99,87,gift_card,3000
100,87,credit_card,2600
101,88,credit_card,2900
102,89,bank_transfer,2200
103,90,bank_transfer,200
104,91,credit_card,1900
105,92,bank_transfer,1500
106,92,coupon,200
107,93,gift_card,2600
108,94,coupon,700
109,95,coupon,2400
110,96,gift_card,1700
111,97,bank_transfer,1400
112,98,bank_transfer,1000
113,99,credit_card,2400
114,758,bank_transfer,2
115,2905,bank_transfer,2
116,2853,bank_transfer,2
117,2791,credit_card,2
118,3663,coupon,245
119,1223,gift_card,2307
120,4070,bank_transfer,2
121,681,credit_card,535
122,2229,coupon,2138
123,1736,credit_card,2
124,5003,coupon,2
125,2041,bank_transfer,2
126,3616,gift_card,2
127,3301,gift_card,2
128,155,coupon,2
129,4406,coupon,1678
130,1970,gift_card,2202
131,1917,credit_card,726
132,1038,coupon,2
133,456,coupon,2
134,2765,gift_card,2
135,1564,credit_card,2232
136,1186,credit_card,1419
137,2234,coupon,2237
138,4871,credit_card,1672
139,4627,gift_card,2
140,1955,bank_transfer,702
141,335,bank_transfer,2
142,315,bank_transfer,596
143,809,credit_card,2
144,2811,credit_card,488
145,2208,bank_transfer,2
146,1183,credit_card,2
147,3628,coupon,2
148,3976,gift_card,2
149,4166,credit_card,2
150,2043,bank_transfer,2
151,3881,bank_transfer,773
152,1557,bank_transfer,1530
153,688,bank_transfer,843
154,3306,credit_card,1056
155,3061,credit_card,299
156,3918,credit_card,2
157,3211,credit_card,2
158,2755,bank_transfer,2860
159,1006,bank_transfer,2
160,1812,coupon,2
161,4832,coupon,622
162,624,coupon,2
163,1334,credit_card,2
164,2032,gift_card,2290
165,4053,gift_card,501
166,3295,bank_transfer,2999
167,4774,bank_transfer,2
168,4685,bank_transfer,2
169,3215,credit_card,1219
170,792,coupon,2169
171,1364,coupon,2
172,4569,bank_transfer,2
173,5075,credit_card,2
174,1097,gift_card,371
175,4922,credit_card,2
176,4766,gift_card,2
177,623,bank_transfer,2
178,2773,coupon,2244
179,3896,bank_transfer,1567
180,1351,coupon,483
181,4120,gift_card,969
182,1534,bank_transfer,2
183,1861,gift_card,2
184,2457,coupon,2
185,3434,bank_transfer,308
186,334,coupon,1035
187,3132,gift_card,2
188,962,credit_card,100
189,3838,coupon,1248
190,2726,credit_card,2
191,3239,credit_card,2
192,5070,coupon,2
193,3494,gift_card,937
194,2371,coupon,481
195,4902,bank_transfer,988
196,1140,credit_card,2
197,2197,gift_card,246
198,4076,coupon,2
199,708,gift_card,415
200,1720,gift_card,382
201,2023,gift_card,2
202,4801,gift_card,1506
203,3721,credit_card,2
204,896,bank_transfer,2039
205,3889,coupon,1196
206,4964,credit_card,2
207,2735,bank_transfer,869
208,4719,coupon,2
209,2455,coupon,2
210,2605,gift_card,2
211,4410,credit_card,641
212,3661,coupon,2
213,4556,coupon,1012
214,2952,coupon,2
215,4857,credit_card,2
216,3275,coupon,2
217,1776,coupon,2
218,1229,gift_card,2
219,421,coupon,2685
220,366,bank_transfer,2
221,4747,coupon,2
222,1805,gift_card,2
223,1949,coupon,2872
224,3935,gift_card,1089
225,3508,credit_card,2698
226,2321,coupon,2
227,1931,gift_card,2710
228,2995,gift_card,2
229,2035,coupon,2
230,2416,bank_transfer,2
231,599,gift_card,1861
232,3536,gift_card,540
233,2554,coupon,2
234,653,gift_card,1955
235,2546,coupon,1779
236,3777,bank_transfer,2
237,4917,coupon,341
238,4924,coupon,2
239,2208,credit_card,1893
240,3972,bank_transfer,2
241,4748,coupon,1171
242,3226,gift_card,2
243,5067,credit_card,2
244,2351,bank_transfer,2
245,3427,gift_card,726
246,3837,coupon,1534
247,2539,bank_transfer,2
248,467,gift_card,2551
249,2723,bank_transfer,2
250,1040,credit_card,2
251,204,gift_card,2314
252,1388,gift_card,2
253,545,gift_card,2
254,2278,bank_transfer,2
255,567,coupon,2692
256,3271,gift_card,2
257,809,coupon,2
258,2476,coupon,2
259,1675,bank_transfer,1559
260,2965,gift_card,2
261,4556,credit_card,2
262,3398,bank_transfer,224
263,2228,gift_card,2555
264,2076,coupon,2
265,882,coupon,2097
266,2809,credit_card,2
267,4245,credit_card,811
268,1461,bank_transfer,2
269,972,bank_transfer,754
270,2652,gift_card,2
271,1402,coupon,2180
272,196,gift_card,2
273,1878,credit_card,2
274,3902,credit_card,2966
275,5064,gift_card,2
276,1330,coupon,2040
277,3376,bank_transfer,2085
278,1181,credit_card,2
279,101,gift_card,1193
280,3398,gift_card,2690
281,1149,bank_transfer,2513
282,1527,gift_card,2
283,3268,credit_card,2
284,3643,credit_card,2
285,2000,coupon,2
286,1320,gift_card,2
287,2756,bank_transfer,2
288,570,coupon,1333
289,2047,credit_card,1568
290,4602,bank_transfer,2960
291,3573,coupon,2
292,2382,credit_card,1234
293,3573,coupon,2
294,1852,credit_card,1815
295,2472,coupon,2
296,1552,bank_transfer,1248
297,3427,credit_card,599
298,3934,credit_card,776
299,4810,coupon,2
300,3789,coupon,2633
301,3748,bank_transfer,2
302,3421,bank_transfer,2297
303,1787,gift_card,2
304,3316,bank_transfer,2988
305,2824,credit_card,2
306,511,credit_card,2
307,3066,coupon,1340
308,920,bank_transfer,2
309,474,gift_card,1640
310,508,gift_card,2357
311,2993,coupon,2
312,1379,credit_card,2
313,810,coupon,2
314,170,coupon,1555
315,1810,coupon,2
316,3402,bank_transfer,868
317,4499,bank_transfer,2605
318,4359,coupon,2
319,653,credit_card,2101
320,2236,gift_card,2
321,2954,gift_card,2
322,3645,bank_transfer,422
323,3983,bank_transfer,2
324,2045,gift_card,825
325,2159,credit_card,1229
326,769,bank_transfer,2
327,2735,coupon,2
328,3590,coupon,2
329,1892,credit_card,2
330,3218,coupon,2058
331,1467,gift_card,2
332,1362,gift_card,2
333,1262,gift_card,2610
334,1321,gift_card,2
335,3996,coupon,2
336,1230,gift_card,2
337,2083,gift_card,510
338,1483,gift_card,2
339,190,coupon,1389
340,4482,gift_card,2
341,689,credit_card,595
342,2421,bank_transfer,2
343,3085,bank_transfer,783
344,1433,bank_transfer,2
345,2186,coupon,2849
346,3458,bank_transfer,2691
347,3139,coupon,2
348,986,gift_card,2
349,1003,bank_transfer,2
350,2209,bank_transfer,2080
351,1927,gift_card,2
352,4288,coupon,1653
353,2921,bank_transfer,2
354,2175,credit_card,2
355,3378,credit_card,2
356,4292,credit_card,1610
357,1418,bank_transfer,2113
358,3615,credit_card,2779
359,3794,bank_transfer,1033
360,1830,credit_card,2
361,4803,credit_card,2
362,3759,bank_transfer,2238
363,2323,coupon,2
364,4127,bank_transfer,2
365,4317,coupon,1809
366,3983,coupon,2
367,3876,credit_card,2545
368,3646,gift_card,2649
369,4345,gift_card,2
370,3270,gift_card,2
371,362,coupon,1548
372,1128,gift_card,2228
373,4517,bank_transfer,2475
374,2222,credit_card,2
375,3653,gift_card,2
376,2410,gift_card,2113
377,3505,coupon,2620
378,4784,gift_card,2
379,2528,credit_card,2
380,4455,gift_card,2
381,1393,coupon,2
382,1611,coupon,2051
383,3072,bank_transfer,2
384,2236,credit_card,2
385,2477,bank_transfer,2
386,1193,coupon,535
387,479,bank_transfer,975
388,3511,bank_transfer,1270
389,1445,gift_card,2955
390,4435,bank_transfer,2
391,3845,credit_card,2
392,4197,coupon,1279
393,2855,bank_transfer,1534
394,4462,credit_card,1277
395,551,credit_card,2776
396,2426,coupon,2
397,3454,credit_card,2
398,349,coupon,2
399,3801,gift_card,1294
400,2493,bank_transfer,2
401,527,gift_card,2
402,4240,gift_card,1202
403,119,coupon,2897
404,4775,gift_card,2
405,1449,bank_transfer,2893
406,3254,bank_transfer,2
407,1367,coupon,2
408,1280,credit_card,974
409,3693,bank_transfer,2
410,3641,credit_card,1652
411,3615,coupon,2
412,5041,gift_card,1310
413,1568,coupon,1079
414,3684,bank_transfer,1513
415,2112,coupon,2
416,3221,credit_card,521
417,4185,bank_transfer,2
418,2315,coupon,1517
419,4542,bank_transfer,2681
420,395,bank_transfer,2379
421,4078,credit_card,2
422,1572,bank_transfer,2
423,439,coupon,2
424,4461,gift_card,2
425,3100,coupon,2
426,3875,bank_transfer,582
427,3453,gift_card,2
428,3710,coupon,2
429,3416,gift_card,2
430,1005,credit_card,2
431,2536,coupon,439
432,464,credit_card,1116
433,3004,bank_transfer,985
434,4171,gift_card,2
435,2773,credit_card,2
436,4620,bank_transfer,1547
437,1333,coupon,2
438,3464,coupon,1973
439,3687,bank_transfer,577
440,627,credit_card,921
441,4349,credit_card,2
442,2519,bank_transfer,1490
443,4761,credit_card,1321
444,3501,coupon,2
445,4354,coupon,2
446,940,credit_card,2680
447,4092,bank_transfer,1570
448,3093,coupon,1586
449,4249,gift_card,2
450,268,gift_card,779
451,5089,bank_transfer,2773
452,1071,bank_transfer,2
453,3917,credit_card,2
454,2865,coupon,2048
455,2001,bank_transfer,2
456,221,coupon,2
457,4272,gift_card,2
458,4066,bank_transfer,2
459,999,coupon,357
460,1257,credit_card,2
461,2400,credit_card,1877
462,202,credit_card,2867
463,266,bank_transfer,2
464,656,coupon,1904
465,1235,gift_card,463
466,2681,coupon,2
467,3924,coupon,508
468,2549,credit_card,2
469,1188,bank_transfer,2518
470,1585,coupon,2
471,4314,bank_transfer,353
472,3694,credit_card,2
473,270,bank_transfer,2675
474,2283,coupon,2171
475,2351,coupon,1940
476,1274,gift_card,2
477,4720,gift_card,874
478,4125,bank_transfer,2477
479,4580,gift_card,2791
480,1344,credit_card,2453
481,802,credit_card,2
482,4433,bank_transfer,2
483,452,bank_transfer,2
484,2464,gift_card,1569
485,1798,credit_card,2
486,641,gift_card,1157
487,462,bank_transfer,2
488,206,coupon,2
489,1991,bank_transfer,2
490,2165,coupon,1364
491,476,bank_transfer,2
492,869,gift_card,2
493,290,coupon,2
494,4820,gift_card,287
495,4966,credit_card,756
496,1105,credit_card,2
497,1256,gift_card,1151
498,2328,bank_transfer,2197
499,3027,credit_card,1579
500,3363,credit_card,2
501,4432,gift_card,2
502,4221,coupon,486
503,953,bank_transfer,2
504,2155,coupon,2
505,1764,bank_transfer,2
506,4809,coupon,2857
507,4161,bank_transfer,1827
508,1641,credit_card,2
509,4343,bank_transfer,1749
510,2669,bank_transfer,2632
511,1524,coupon,2
512,4041,bank_transfer,1166
513,2153,gift_card,2
514,2378,bank_transfer,674
515,358,credit_card,2
516,3624,credit_card,2
517,2152,gift_card,2
518,540,coupon,2517
519,132,coupon,2
520,4509,bank_transfer,2
521,3640,credit_card,2
522,925,bank_transfer,1940
523,3191,bank_transfer,2
524,4570,credit_card,523
525,3522,gift_card,1908
526,321,credit_card,240
527,4475,credit_card,2
528,1642,coupon,1018
529,2671,gift_card,1909
530,3728,credit_card,2
531,3334,credit_card,2
532,2370,gift_card,2
533,4836,gift_card,2704
534,3024,bank_transfer,2
535,3979,gift_card,1877
536,2750,credit_card,2
537,2051,coupon,2017
538,4315,gift_card,1451
539,3445,credit_card,2
540,1447,gift_card,2661
541,1508,credit_card,2
542,1934,credit_card,1449
543,755,credit_card,2
544,2468,credit_card,2
545,1851,gift_card,1324
546,2467,coupon,2
547,441,credit_card,1254
548,2224,gift_card,2
549,2107,gift_card,2008
550,4885,gift_card,2
551,3136,credit_card,2
552,2772,bank_transfer,2
553,2262,coupon,1567
554,1874,coupon,2
555,3620,gift_card,538
556,3047,credit_card,2
557,4359,credit_card,2
558,3174,credit_card,411
559,112,coupon,970
560,2067,credit_card,2
561,1782,coupon,2
562,834,coupon,2
563,2154,credit_card,2
564,2695,coupon,2281
565,3164,credit_card,2
566,4156,gift_card,2024
567,897,credit_card,1603
568,4850,bank_transfer,2
569,290,coupon,2
570,3457,bank_transfer,2
571,1528,gift_card,2
572,1763,bank_transfer,2
573,742,credit_card,2612
574,4187,credit_card,1361
575,2490,bank_transfer,2462
576,4350,gift_card,2
577,4127,credit_card,2
578,2077,credit_card,2
579,1487,coupon,2
580,535,credit_card,1585
581,3690,bank_transfer,341
582,877,coupon,2
583,2325,coupon,2
584,1714,credit_card,2
585,4779,gift_card,2
586,3072,bank_transfer,2649
587,1965,coupon,485
588,2183,bank_transfer,2
589,1990,bank_transfer,2
590,399,gift_card,2463
591,1645,credit_card,2
592,3220,gift_card,2
593,5044,credit_card,1729
594,1070,coupon,2
595,1578,coupon,736
596,1617,credit_card,1596
597,522,coupon,2
598,1043,bank_transfer,2
599,4241,bank_transfer,2711
600,4945,coupon,2
601,972,bank_transfer,1678
602,4761,bank_transfer,2
603,4956,bank_transfer,2
604,1687,credit_card,2170
605,1991,coupon,2
606,4749,credit_card,1747
607,748,bank_transfer,2
608,1892,coupon,1594
609,1458,bank_transfer,2
610,392,gift_card,2507
611,1236,gift_card,2385
612,980,coupon,813
613,962,gift_card,2
614,1472,coupon,2
615,4010,coupon,2
616,3481,bank_transfer,2621
617,4229,bank_transfer,140
618,3153,gift_card,2
619,4122,credit_card,1229
620,346,coupon,1997
621,437,gift_card,2723
622,3387,gift_card,2
623,1824,credit_card,2
624,4405,gift_card,2
625,4365,bank_transfer,2
626,1578,coupon,2
627,4546,bank_transfer,2245
628,4092,gift_card,1676
629,4816,gift_card,653
630,4494,coupon,2
631,1495,credit_card,2
632,207,credit_card,2
633,1063,credit_card,2
634,2536,credit_card,2
635,510,coupon,1541
636,1846,credit_card,2556
637,2762,credit_card,2
638,3805,coupon,2
639,3167,credit_card,2
640,1307,gift_card,2
641,4709,bank_transfer,2
642,3940,gift_card,1970
643,2058,bank_transfer,590
644,1192,coupon,1462
645,137,coupon,2943
646,4788,bank_transfer,2
647,3430,bank_transfer,2
648,4232,credit_card,2
649,2795,credit_card,2
650,3241,gift_card,1654
651,1509,gift_card,2
652,1267,credit_card,2
653,816,gift_card,2
654,4729,credit_card,2086
655,3770,gift_card,2
656,2776,bank_transfer,2182
657,1595,coupon,2
658,1192,gift_card,2
659,1610,credit_card,2
660,1907,coupon,1028
661,4665,coupon,2
662,2658,bank_transfer,2
663,393,bank_transfer,2
664,1670,coupon,2
665,284,credit_card,2
666,3813,gift_card,2617
667,2105,credit_card,2
668,2513,gift_card,241
669,3028,credit_card,791
670,1193,bank_transfer,2
671,2803,bank_transfer,469
672,2214,credit_card,2
673,3772,credit_card,2839
674,621,gift_card,2
675,4355,gift_card,2
676,3102,coupon,310
677,2241,credit_card,2
678,2424,coupon,1674
679,561,credit_card,526
680,2644,gift_card,2
681,3094,coupon,2604
682,4491,gift_card,2
683,4714,gift_card,2
684,284,coupon,2
685,811,credit_card,2
686,4127,gift_card,552
687,2203,coupon,2
688,3686,coupon,1838
689,908,bank_transfer,2
690,2527,credit_card,2143
691,3627,gift_card,2
692,3593,bank_transfer,878
693,850,gift_card,2
694,1601,coupon,1099
695,3135,gift_card,2
696,2714,credit_card,2992
697,4083,gift_card,1190
698,2103,gift_card,2150
699,4620,gift_card,2681
700,688,gift_card,2
701,4519,bank_transfer,2
702,3257,credit_card,2
703,4319,bank_transfer,2
704,1922,credit_card,214
705,3501,bank_transfer,2
706,1383,gift_card,121
707,2026,coupon,2
708,1950,coupon,1694
709,2906,gift_card,2
710,1871,credit_card,1541
711,136,gift_card,2
712,4809,coupon,1144
713,2829,bank_transfer,117
714,1131,gift_card,1297
715,1321,coupon,535
716,1949,coupon,1120
717,1687,coupon,2659
718,2468,coupon,2341
719,1984,credit_card,2657
720,1975,bank_transfer,800
721,4151,credit_card,430
722,1747,gift_card,2
723,3773,gift_card,942
724,2502,bank_transfer,2
725,4643,gift_card,2
726,4152,bank_transfer,2667
727,300,bank_transfer,2587
728,3961,gift_card,2
729,4587,coupon,2
730,2541,bank_transfer,151
731,1039,gift_card,2524
732,3965,bank_transfer,959
733,4225,credit_card,2456
734,1268,bank_transfer,2
735,1129,bank_transfer,1498
736,3977,gift_card,2
737,3707,credit_card,2
738,3553,gift_card,2
739,3162,gift_card,1579
740,1827,gift_card,2
741,3612,bank_transfer,861
742,1518,bank_transfer,1824
743,2684,gift_card,1981
744,3979,coupon,2735
745,1500,credit_card,115
746,3677,bank_transfer,2
747,2791,bank_transfer,2957
748,524,credit_card,2
749,788,gift_card,2365
750,351,bank_transfer,2
751,1575,gift_card,2889
752,919,gift_card,2
753,2215,gift_card,2350
754,2409,coupon,1302
755,1336,bank_transfer,2395
756,2572,credit_card,1817
757,771,gift_card,2985
758,192,bank_transfer,2
759,2984,bank_transfer,2
760,3994,bank_transfer,2252
761,5020,coupon,2
762,4468,coupon,2
763,3155,credit_card,2541
764,3872,coupon,2
765,2608,coupon,2
766,2671,bank_transfer,2641
767,3730,bank_transfer,641
768,4019,coupon,1038
769,4863,gift_card,2
770,2625,gift_card,391
771,4741,bank_transfer,2
772,1810,coupon,2
773,391,credit_card,671
774,3019,coupon,2
775,3815,gift_card,557
776,203,gift_card,399
777,3017,gift_card,2
778,716,gift_card,2
779,2260,gift_card,795
780,432,gift_card,2
781,4610,coupon,2
782,4557,bank_transfer,2
783,4472,credit_card,2934
784,4729,credit_card,231
785,1251,credit_card,1556
786,3308,coupon,2341
787,4247,credit_card,2
788,4236,credit_card,2
789,1152,coupon,2
790,4462,gift_card,2
791,1470,credit_card,2
792,4187,gift_card,1249
793,333,gift_card,702
794,1959,gift_card,1485
795,399,credit_card,2
796,2367,credit_card,1824
797,1674,credit_card,2
798,3212,credit_card,2
799,2295,coupon,2
800,1432,credit_card,513
801,3165,credit_card,398
802,1771,bank_transfer,2
803,3124,coupon,2
804,3248,bank_transfer,999
805,3207,credit_card,2
806,2724,coupon,1372
807,1567,gift_card,2
808,1709,coupon,2
809,572,credit_card,2
810,1238,credit_card,2400
811,1132,credit_card,2924
812,314,gift_card,2
813,1079,gift_card,2466
814,4140,bank_transfer,2
815,4459,coupon,2
816,225,gift_card,2
817,3277,coupon,2
818,4162,bank_transfer,2
819,4350,gift_card,2
820,4603,credit_card,2
821,2650,credit_card,2
822,586,bank_transfer,488
823,4230,coupon,2
824,2949,gift_card,2
825,4792,gift_card,2
826,4274,coupon,1206
827,3689,gift_card,2
828,2644,coupon,2
829,3586,coupon,642
830,2543,credit_card,2
831,2365,gift_card,2
832,4505,gift_card,2
833,2337,gift_card,1350
834,3660,coupon,417
835,4306,coupon,2079
836,4798,gift_card,1743
837,800,credit_card,542
838,332,gift_card,698
839,2180,bank_transfer,2
840,1744,gift_card,2896
841,1770,gift_card,962
842,568,coupon,486
843,3910,bank_transfer,2719
844,2967,coupon,2848
845,1452,credit_card,231
846,4126,bank_transfer,2
847,4384,gift_card,1442
848,4776,gift_card,1477
849,4184,coupon,2
850,3540,bank_transfer,1932
851,1975,coupon,110
852,1138,bank_transfer,1625
853,1065,gift_card,1514
854,1883,bank_transfer,2952
855,1659,gift_card,205
856,1899,bank_transfer,626
857,2073,bank_transfer,2
858,4554,coupon,2
859,237,coupon,2
860,4450,coupon,2
861,503,bank_transfer,2
862,3450,coupon,115
863,3089,coupon,2609
864,5003,bank_transfer,2524
865,3380,coupon,1462
866,1707,gift_card,2
867,2691,coupon,2
868,3991,bank_transfer,2
869,2423,coupon,2
870,4613,coupon,1542
871,3981,credit_card,909
872,568,credit_card,1808
873,2703,gift_card,2464
874,3610,coupon,2902
875,1071,gift_card,2
876,982,credit_card,1634
877,1119,gift_card,2
878,1474,bank_transfer,242
879,2175,gift_card,2
880,2900,coupon,1697
881,963,coupon,2
882,1073,coupon,1605
883,1496,bank_transfer,2772
884,4329,coupon,2
885,2425,gift_card,2
886,4806,credit_card,2701
887,5026,gift_card,2
888,3161,credit_card,344
889,3643,coupon,466
890,3062,bank_transfer,1913
891,4965,gift_card,2701
892,1955,gift_card,2364
893,1040,bank_transfer,880
894,2847,gift_card,2254
895,864,bank_transfer,658
896,201,coupon,1276
897,3623,credit_card,2022
898,2439,credit_card,2083
899,4594,bank_transfer,1683
900,3099,credit_card,2
901,1849,gift_card,2
902,126,credit_card,2
903,1279,bank_transfer,2
904,1605,gift_card,2
905,4832,credit_card,2413
906,248,gift_card,2
907,2534,bank_transfer,2
908,2510,coupon,2
909,3279,gift_card,545
910,388,bank_transfer,1432
911,541,credit_card,2285
912,4702,coupon,2
913,1474,gift_card,2
914,890,credit_card,2
915,116,coupon,2
916,3698,credit_card,2
917,2735,credit_card,2
918,716,credit_card,1446
919,1161,gift_card,2458
920,579,gift_card,1561
921,153,gift_card,307
922,2821,bank_transfer,2
923,870,gift_card,2383
924,2592,coupon,1472
925,4274,bank_transfer,2
926,4785,coupon,2326
927,2608,coupon,2
928,3067,coupon,2
929,2691,bank_transfer,2152
930,1028,credit_card,620
931,4209,coupon,2
932,2214,credit_card,1403
933,181,credit_card,2
934,4506,coupon,2
935,1134,bank_transfer,2431
936,1572,gift_card,689
937,3636,bank_transfer,1836
938,2085,bank_transfer,2
939,1754,gift_card,2902
940,3731,credit_card,2
941,4107,bank_transfer,2479
942,295,coupon,2
943,563,coupon,2
944,1326,bank_transfer,2010
945,1683,bank_transfer,2
946,1995,credit_card,1306
947,2189,credit_card,2882
948,4089,credit_card,386
949,2027,credit_card,642
950,868,coupon,2
951,2554,bank_transfer,2
952,3286,credit_card,1069
953,2097,bank_transfer,2
954,4227,credit_card,2
955,3059,coupon,2
956,4976,gift_card,2
957,2787,credit_card,2
958,377,credit_card,2767
959,1613,bank_transfer,2
960,2304,coupon,440
961,3554,coupon,2971
962,3650,coupon,281
963,3145,credit_card,2
964,4530,gift_card,2061
965,2224,credit_card,2478
966,905,bank_transfer,2
967,1794,gift_card,812
968,107,gift_card,2
969,1284,bank_transfer,1335
970,4570,gift_card,2
971,2789,gift_card,2
972,2163,coupon,2
973,1462,gift_card,2
974,619,gift_card,2
975,3534,credit_card,2
976,1160,credit_card,2
977,2290,coupon,2
978,2259,bank_transfer,2
979,1940,coupon,1304
980,4770,gift_card,2
981,3251,gift_card,961
982,5036,gift_card,2
983,4466,bank_transfer,2853
984,631,gift_card,380
985,4200,gift_card,2
986,4271,credit_card,2
987,2256,credit_card,2
988,4016,bank_transfer,2
989,4266,credit_card,742
990,1575,bank_transfer,2440
991,1372,coupon,2847
992,1596,coupon,2
993,4854,credit_card,984
994,1274,credit_card,1702
995,2618,coupon,299
996,1692,credit_card,2
997,1793,coupon,2
998,795,gift_card,2372
999,2582,bank_transfer,2
1000,4840,credit_card,2186
1001,159,bank_transfer,2
1002,444,coupon,2
1003,4081,coupon,2
1004,3799,bank_transfer,1916
1005,4207,gift_card,2
1006,2278,credit_card,2
1007,4916,gift_card,1799
1008,3574,gift_card,1546
1009,2344,bank_transfer,2174
1010,146,credit_card,2
1011,2565,coupon,1382
1012,808,credit_card,2525
1013,2718,coupon,2136
1014,4120,gift_card,2
1015,2303,gift_card,2
1016,490,bank_transfer,2
1017,457,gift_card,2
1018,3915,coupon,2
1019,982,coupon,132
1020,633,bank_transfer,2
1021,1029,coupon,2
1022,5010,coupon,2
1023,4065,gift_card,2
1024,3391,coupon,2
1025,3728,coupon,2
1026,2209,gift_card,2567
1027,4552,credit_card,799
1028,4967,credit_card,1390
1029,2400,bank_transfer,1665
1030,2077,gift_card,2
1031,3709,coupon,2411
1032,1535,bank_transfer,2
1033,4318,gift_card,2
1034,4222,coupon,2
1035,2526,coupon,2
1036,3710,bank_transfer,2
1037,2349,bank_transfer,1141
1038,1670,bank_transfer,1551
1039,2354,credit_card,614
1040,2245,coupon,1503
1041,431,gift_card,2
1042,2162,gift_card,2
1043,703,coupon,2243
1044,3820,credit_card,2
1045,5000,bank_transfer,2
1046,4898,bank_transfer,1067
1047,758,coupon,2
1048,1647,coupon,2
1049,3656,bank_transfer,2
1050,4877,coupon,2
1051,402,bank_transfer,231
1052,4927,credit_card,927
1053,512,bank_transfer,2
1054,2045,bank_transfer,313
1055,2287,coupon,2
1056,2644,coupon,2
1057,4908,bank_transfer,176
1058,1885,coupon,2179
1059,4584,gift_card,1070
1060,1436,gift_card,2
1061,215,coupon,2365
1062,3990,coupon,2
1063,4838,coupon,2281
1064,3966,gift_card,2
1065,595,gift_card,2
1066,3603,gift_card,767
1067,1179,gift_card,2
1068,2525,bank_transfer,2
1069,1359,gift_card,677
1070,579,gift_card,2261
1071,1535,gift_card,1511
1072,3673,bank_transfer,2
1073,931,bank_transfer,1504
1074,1902,credit_card,2727
1075,2087,bank_transfer,2
1076,4511,coupon,2858
1077,4970,coupon,723
1078,390,bank_transfer,1967
1079,4377,credit_card,2
1080,721,credit_card,117
1081,322,gift_card,2
1082,1501,bank_transfer,357
1083,4899,coupon,2
1084,3477,bank_transfer,2
1085,2858,coupon,1344
1086,4925,credit_card,2
1087,273,credit_card,949
1088,3710,gift_card,1962
1089,2039,gift_card,2348
1090,931,bank_transfer,1217
1091,2761,gift_card,699
1092,288,credit_card,1029
1093,3280,credit_card,2397
1094,4832,bank_transfer,2
1095,1132,credit_card,1022
1096,2578,credit_card,2
1097,4359,bank_transfer,2
1098,3636,coupon,2
1099,3426,credit_card,2
1100,2083,bank_transfer,292
1101,3370,credit_card,2636
1102,1026,credit_card,2200
1103,1526,gift_card,1139
1104,3273,credit_card,2952
1105,1196,credit_card,2
1106,4024,bank_transfer,993
1107,3615,gift_card,2
1108,1983,coupon,2
1109,3954,coupon,244
1110,5019,bank_transfer,2
1111,1531,gift_card,1069
1112,1974,coupon,2
1113,4118,bank_transfer,2271
1114,3926,gift_card,2379
1115,1294,coupon,2405
1116,1199,gift_card,460
1117,4272,gift_card,2
1118,3320,coupon,2
1119,1009,coupon,757
1120,3893,bank_transfer,2
1121,4185,credit_card,2
